קוד פריט,תיאור פריט,מחיר אחרון שחושב (מטבע),מחיר אחרון שחושב,כמות,ערך מלאי (מטבע),ערך מלאי
22001250,Coin Validator GPM Cv NR16,Eur,840,2,₪  ,6435.91
25001120,מפ''ז מחליף 1-0-2 2X40A על פס דין,₪  ,97,66,₪  ,6402
26001044,מסופון UN ATANDED דגם IM30 4G כולל שנאי ללא אנטנה,₪  ,1600,4,₪  ,6400
17000052,כבל  15X6005 AWG מסוכך,₪  ,4.2,"1,500",₪  ,6300
16000262,ארונית 48 - 48 ריתוך,₪  ,2050,3,₪  ,6150
14000179,"שוט כפול 4"" 2.5X2.5 מ'",₪  ,1525,4,₪  ,6100
22001343,SANEI thermo printer full cut - GREEN - GPT Bp Sanei FullCut,Eur,519,3,₪  ,5964.71
25000336,מופה  3 רזניקס 4  קומפלט,₪  ,97.52,61,₪  ,5948.72
17000261,כבל גל ירוק 100X2X0.6,₪  ,34.8,170,₪  ,5916
22000127,כרטיס DIALOGIC,$  ,535.93,3,₪  ,5913.45
22001133,גליל נייר למדפסת VKP80 80X100  עובי 110 מיקרון (22001133),₪  ,9.5,622,₪  ,5909
25000545,ח''א S201PC40NA 15KA 1*40A+N ABB 2 מודול,₪  ,145.01,40,₪  ,5800.4
22000897,OMEGA ATM U354 ULTRA BOOM HOLDER P120062 00001,₪  ,360.14,16,₪  ,5762.24
31000048,מסגרת לבקר דמבך/PEEK,₪  ,50,113,₪  ,5650
22001179,PS LIGHT ALLU₪ Xtreme P120075,₪  ,144.5,39,₪  ,5635.5
22002430,"עמוד אנטי ונדלי למצלמת LPR גובה 160 ס""מ אפור (RAL9006)",₪  ,699.99,8,₪  ,5599.94
30000121,דיבל 7 ממ' (100 יח'),₪  ,5.5,"1,009",₪  ,5549.5
31000408,חיזוק ל UPS,₪  ,30,184,₪  ,5520
31000438,אפוד עם מיגון בליסטי קדמי ואחורי דגם LU300BR,₪  ,690,8,₪  ,5520
31000439,קסדה למיגון דגם LI2009PD-PASGT,₪  ,690,8,₪  ,5520
30000259,איזולטור IZO 10 927 6001,Eur,3,479,₪  ,5505.26
22002549,מדפסת BEIYANG ETH RS232 USB BTP-880NPV,₪  ,1100,5,₪  ,5500
24000839,בקר TWDLCDE40DRF,₪  ,2729.34,2,₪  ,5458.68
22001039,ASS. POMOLO M.A.M. N&D 041338 (ידית ניטרול),₪  ,73.73,74,₪  ,5456.02
24000903,תצוגה גרפית דגם-WG24064A-TMI-VZ# BLUE,$  ,63.5,23,₪  ,5371.76
17000311,כבל פנדל אדום  6X1.5,₪  ,6.7,800,₪  ,5360
17000296,RG-11 כבל קואקס (טלדור) סיכוך נחושת,₪  ,6.25,850,₪  ,5312.5
22002366,ראש בולרד I271423 50001  RIC. KIT CAPPELLO LUCI,₪  ,658,8,₪  ,5264
19001032,"זוית 8 מ""מ מגולוון כולל חורים",₪  ,32,164,₪  ,5248
25000303,"מפ""ז  40A  SB 240",₪  ,63,83,₪  ,5229
22002734,אינטרקום IPParkcom IPPARKV3,₪  ,1300,4,₪  ,5200
13000297,"LED Board SMD Outdoor, P16mm AW-ISR-3Y20X8C16M",$  ,465,3,₪  ,5130.81
22001288,"גליל נייר טרמי למדפסת VKP 60*80 קוטר 1"" 110 מיקרון למערכת GREEN",₪  ,5.95,860,₪  ,5117
22001315,"220V,50HZ, Straight Boom, 1s, With 3 Meters RAL 9006 מחסום מהיר 3 מ' ימין",$  ,455,3,₪  ,5020.47
25000002,מנה למופה 3 רזינקס 4,₪  ,56.39,89,₪  ,5018.71
16000265,קלוזר 48,₪  ,1250,4,₪  ,5000
12000047,"עדשה חלבית קוטר 50 ס""מ  P.C",₪  ,69,72,₪  ,4968
22001293,"LED Display P22mm, 3red, 4x(5x8)",$  ,450,3,₪  ,4965.3
17000049,"חוט חשמל 2.5 ממ""ר אדום גמיש 105 מעלות",₪  ,1.8,"2,750",₪  ,4950
22001052,CENTRALINA CSB-BR 230V 50/60Hz con staffa I100520 60001 (לוח פיקוד דגם חדש למחסום O&O),₪  ,819.37,6,₪  ,4916.22
16000001,ארון בזק 7 (עומק 380),₪  ,2410.01,2,₪  ,4820.02
22002578,בסיס גובה 20 ס''מ לעמדת מנפיק לחניון פינגווין,₪  ,800,6,₪  ,4800
12000053,"עדשה חלבית קוטר 38.5 ס""מ (לא פעיל)",₪  ,65.03,73,₪  ,4747.19
33000175,אטם מכסה עליון MATU101-101,₪  ,7,673,₪  ,4711
22000949,Tsu25db with RS485 interface 02158,Eur,1218.74,1,₪  ,4668.85
17000083,חוט חשמל 10 ממ' צהוב ירוק  גמיש,₪  ,4.64,"1,000",₪  ,4640
22002487,Camera for licence plate capturing BW ARH Cam LPR BW,Eur,605.08,2,₪  ,4635.96
14000253,עמוד 4.40 דגם אשדוד עם פלטה קטנה כולל 2 דלתות,₪  ,660,7,₪  ,4620
31000404,פח סגירה לארון UPS DCWE-0 510X255 מ''מ,₪  ,50,92,₪  ,4600
