תאריך,סוג תנועת מלאי,מס. תעודה/חשבונית,"מק""ט",תאור מוצר,כמות (קניה/מכירה),"עלות ש""ח ליח' ק/מ","עלות ש""ח",מקור עלות,מס' לקוח,שם לקוח,מס' ספק,שם ספק,מחסן,איתור,"פק""ע/מנה",מהדורת מוצר,מהדורת עץ מוצר,יח' קניה/מכירה,כמות מפעל,יח' מפעל,עלות USD ליח' ק/מ,עלות USD,מטבע תנועה,למחסן,לאיתור,"למק""ט",תאור מוצר,"לפק""ע/מנה",מהדורת עץ מוצר,מסטטוס,לסטטוס,מפעולה/משטח,לפעולה/משטח,"עבור פק""ע","עבור מק""ט",תאור מוצר,עבור פעולה/משטח,מס. אריזות,קוד סוג אריזה,תאור סוג אריזה,חתימה,ת. חתימה
4/1/2025,קבלות סחורה מספק,GR25000536,20000231,סכין יפנית רחב,1,6.50,6.50,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',1.76,1.76,"ש""ח",Main,0,20000231,סכין יפנית רחב,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,קבלות סחורה מספק,GR25000536,20000750,אירגונית כלים רכת דופן  IRWIN,1,71.99,71.99,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',19.54,19.54,"ש""ח",Main,0,20000750,אירגונית כלים רכת דופן  IRWIN,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,קבלות סחורה מספק,GR25000536,20000136,"חותך תוכי לכבל חשמל 150 מ""מ TTC מקט CA-22",1,51.99,51.99,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',14.11,14.11,"ש""ח",Main,0,20000136,"חותך תוכי לכבל חשמל 150 מ""מ TTC מקט CA-22",0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,קבלות סחורה מספק,GR25000536,20000875,מברגה אימפקט מקיטה 1.5AH 18V MK-DTD146RFE,1,919.84,919.84,חשבונית,,,2030526,חגי ירון,,,0,,,יח',1,יח',249.69,249.69,"ש""ח",Main,0,20000875,מברגה אימפקט מקיטה 1.5AH 18V MK-DTD146RFE,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:20
4/1/2025,העברה בין מחסנים,WR25000639,14000001,בסיס יציקה+הארקה לעמוד ציר,1,260.00,260.00,"ממ""ן",,,,,Main,0,0,,,יח',1,יח',73.20,73.20,"ש""ח",P022,0,14000001,בסיס יציקה+הארקה לעמוד ציר,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 15:28
4/1/2025,העברה בין מחסנים,WR25001024,12000115,פנס מהבהב (1113313) LED 230V 1X300,30,299.37,8981.10,תנועה,,,,,Main,0,0,,,יח',30,יח',84.45,2533.46,"ש""ח",P164,0,12000115,פנס מהבהב (1113313) LED 230V 1X300,0,,Goods,Goods,,,,,,,0,,,alexg,5/13/25 15:59
4/2/2025,העברה בין מחסנים,WR25000640,30000072,בורג הדוק 5/16X20,100,0.20,20.00,"ממ""ן",,,,,Main,0,0,,,יח',100,יח',0.06,6.00,"ש""ח",P049,0,30000072,בורג הדוק 5/16X20,0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:48
4/2/2025,העברה בין מחסנים,WR25000640,30000035,דסקית שטוחה 5/16X1.2X25,100,0.02,2.00,תנועה,,,,,Main,0,0,,,יח',100,יח',0.01,0.54,"ש""ח",P049,0,30000035,דסקית שטוחה 5/16X1.2X25,0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:48
4/2/2025,העברה בין מחסנים,WR25000640,19000987,בורג איסכורית ראש קודח 4 סמ',100,0.07,7.00,תנועה,,,,,Main,0,0,,,יח',100,יח',0.02,1.89,"ש""ח",P049,0,19000987,בורג איסכורית ראש קודח 4 סמ',0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:48
4/2/2025,העברה בין מחסנים,WR25000640,30000018,בורג ראש קודח 8X1/2  שחור,100,0.04,4.00,"ממ""ן",,,,,Main,0,0,,,יח',100,יח',0.01,1.00,"ש""ח",P049,0,30000018,בורג ראש קודח 8X1/2  שחור,0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:48
4/2/2025,העברה בין מחסנים,WR25000640,30000006,"בורג קודח מושחר ""#8X1",100,0.75,75.00,תנועה,,,,,Main,0,0,,,יח',100,יח',0.20,20.24,"ש""ח",P049,0,30000006,"בורג קודח מושחר ""#8X1",0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:48
4/2/2025,העברה בין מחסנים,WR25000640,19000022,"סרט בידוד רוחב ""2 שחור",10,3.79,37.90,תנועה,,,,,Main,0,0,,,יח',10,יח',1.02,10.23,"ש""ח",P049,0,19000022,"סרט בידוד רוחב ""2 שחור",0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:48
4/2/2025,העברה בין מחסנים,WR25000640,17000330,חוט גלאי 14 AWG XPLE 0.6/1 KV 125C,1000,1.51,1510.00,תנועה,,,,,Main,0,0,,,יח',1000,יח',0.41,407.56,"ש""ח",P049,0,17000330,חוט גלאי 14 AWG XPLE 0.6/1 KV 125C,0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:48
4/2/2025,העברה בין מחסנים,WR25000640,30000008,בורג ג'מבו 5/16,100,0.59,59.00,"ממ""ן",,,,,Main,0,0,,,יח',100,יח',0.17,17.00,"ש""ח",P049,0,30000008,בורג ג'מבו 5/16,0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:49
4/2/2025,העברה בין מחסנים,WR25000641,25000264,מופה 2 רזניקס 4  קומפלט,30,69.01,2070.30,"ממ""ן",,,,,Main,0,0,,,יח',30,יח',19.43,582.90,"ש""ח",P049,0,25000264,מופה 2 רזניקס 4  קומפלט,0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:49
4/2/2025,העברה בין מחסנים,WR25000642,22002345,"מחסום NIGHT&DAY.3 מק""ט 320000 1.7 ש' RAL 9006",1,501.25,501.25,תנועה,,,,,Main,0,0,,,יח',1,יח',135.29,135.29,"ש""ח",P099,0,22002345,"מחסום NIGHT&DAY.3 מק""ט 320000 1.7 ש' RAL 9006",0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:50
4/2/2025,העברה בין מחסנים,WR25000642,22000222,"BL-SMALL 30 מק""ט 323101(זרוע 3 מ')",1,9.92,9.92,תנועה,,,,,Main,0,0,,,יח',1,יח',2.68,2.68,"ש""ח",P099,0,22000222,"BL-SMALL 30 מק""ט 323101(זרוע 3 מ')",0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:50
4/2/2025,העברה בין מחסנים,WR25000642,22001026,LIGHT 3 R/G P120077 00001,1,19.17,19.17,תנועה,,,,,Main,0,0,,,יח',1,יח',5.17,5.17,"ש""ח",P099,0,22001026,LIGHT 3 R/G P120077 00001,0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:50
4/2/2025,העברה בין מחסנים,WR25000642,22000274,"Kit – gom 3 מק""ט P120053 00001(גומי למחסום)",1,7.62,7.62,תנועה,,,,,Main,0,0,,,יח',1,יח',2.06,2.06,"ש""ח",P099,0,22000274,"Kit – gom 3 מק""ט P120053 00001(גומי למחסום)",0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:50
4/2/2025,העברה בין מחסנים,WR25000643,12000034,"עדשה חלבית קוטר  41.5  ס""מ",6,58.00,348.00,תנועה,,,,,Main,0,0,,,יח',6,יח',15.66,93.93,"ש""ח",P023,0,12000034,"עדשה חלבית קוטר  41.5  ס""מ",0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 7:50
4/2/2025,העברה בין מחסנים,WR25000644,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",1,1580.98,1580.98,תנועה,,,,,Main,0,0,,,יח',1,יח',426.72,426.72,"ש""ח",P023,0,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 9:17
4/2/2025,העברה בין מחסנים,WR25000645,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",1,1580.98,1580.98,תנועה,,,,,Main,0,0,,,יח',1,יח',426.72,426.72,"ש""ח",P029,0,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 9:17
4/2/2025,העברה בין מחסנים,WR25000646,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",1,1580.98,1580.98,תנועה,,,,,Main,0,0,,,יח',1,יח',426.72,426.72,"ש""ח",P023,0,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",0,,Goods,Goods,,,,,,,0,,,alexg,4/2/25 9:18
